Identifier	Fold Change	sam	raw score	FDR	ttest	raw score	FDR
IFI35	1.164550119	0	-1.377923746	0	0.005483924	3.094692938	0.040046198
TMUB2	1.179292	0	-1.617639545	0	0.001017372	4.163893036	0.036421924
RASSF7	1.181719441	0	-1.309912776	0	0.017107147	2.60124422	0.047524649
GNB2	1.184405944	0	-1.379775718	0	0.014557046	2.787123718	0.045064681
STX7	1.187524126	0	-1.561648306	0	0.00101305	3.876273307	0.036421924
THOP1	1.200836536	0.02	-1.262960208	0.030598291	0.022327596	2.459115526	0.052587364
RAB24	1.202641608	0.01	-1.386044448	0.018453608	0.012815974	2.801633845	0.045064681
MED28	1.204814441	0	-1.344529612	0	0.010379252	2.81268863	0.045064681
HSP90AB1 /// HSP90AB3P	1.206264825	0	-1.439198141	0	0.004081162	3.205327452	0.040046198
RERE	1.21878951	0	-1.397513954	0	0.013715195	2.789988944	0.045064681
MTX1	1.221032154	0	-1.688658756	0	1.47E-04	4.637976415	0.026326173
PLEKHG6	1.222952035	0	-1.566716864	0	7.94E-04	3.997956871	0.036421924
PGD	1.227577552	0	-1.437522838	0	0.005314395	3.09774029	0.040046198
TXN	1.230554266	0	-1.296022138	0	0.025919475	2.41884773	0.055898627
PVRL2	1.245480462	0	-1.387827902	0	0.013560322	2.735470106	0.045064681
TXNIP	1.249566993	0	-1.411868488	0	0.016710721	2.736186115	0.047524649
DENND3	1.252869021	0	-1.506006649	0	0.003711584	3.290705896	0.040046198
LOC441722 /// U2AF1	1.257319021	0.01	-1.412956704	0.018453608	0.0128237	2.786456896	0.045064681
CLEC4A	1.261816427	0	-1.415682373	0	0.009315517	2.86714106	0.044139188
GLUL	1.263333706	0	-1.347613657	0	0.025019091	2.487062118	0.055289102
GCHFR	1.265667413	0.01	-1.527242173	0.018453608	0.002019369	3.544647114	0.038616605
AKAP10	1.266948063	0.01	-1.417774971	0.018453608	0.0099933	2.846041286	0.044720016
RIN3	1.274319497	0.02	-1.300166292	0.030598291	0.023946816	2.426372643	0.054259242
TFRC	1.288443357	0	-1.417056946	0	0.014686242	2.725081789	0.045064681
TRIM25	1.29100049	0.01	-1.408303669	0.018453608	0.016944693	2.670654419	0.047524649
APOBEC3A	1.322893231	0.01	-1.388750566	0.018453608	0.019898678	2.561984712	0.04879265
HIST1H3D	1.324280231	0	-1.3900598	0	0.012965061	2.706663391	0.045064681
HSP90AB1	1.326057413	0	-1.449916595	0	0.00869002	2.884994645	0.044139188
CAMK2N1	1.335199734	0.02	-1.29794125	0.030598291	0.037230669	2.245470046	0.067520887
MARCO	1.36929182	0	-1.671882073	0	7.96E-04	3.920131793	0.036421924
HSPA1A	1.374621329	0	-1.515683676	0	0.009590922	2.925745091	0.044139188
LYN	1.376120559	0.02	-1.354132695	0.030598291	0.028152574	2.376549241	0.057494968
NADK	1.383144825	0	-1.496539386	0	0.007488082	2.948900581	0.04061717
ISG15	1.387396224	0.03	-1.35203694	0.043658537	0.027913394	2.370705124	0.057494968
BAZ1A	1.392557762	0.01	-1.483252146	0.018453608	0.008826829	2.876809798	0.044139188
HSPH1	1.394836993	0	-1.51655838	0	0.00652572	3.007603693	0.040279445
HSP90AA4P	1.395158531	0	-1.635938639	0	0.00154731	3.643785991	0.038616605
ACTB	1.406878462	0.01	-1.485252696	0.018453608	0.018230356	2.682819746	0.047770307
HES4	1.434047832	0	-1.578898038	0	0.0045927	3.162135011	0.040046198
CCL4 /// CCL4L1 /// CCL4L2	1.464159371	0.03	-1.29327663	0.043658537	0.04537605	2.1256025	0.075056849
ACSL1	1.527429371	0	-1.612793184	0	0.006119362	3.056420724	0.040046198
HSPA6 /// HSPA7	1.527971259	0	-1.544919859	0	0.013667174	2.745660852	0.045064681
MIR21 /// TMEM49	1.583559301	0	-1.699605991	0	0.007144635	3.13708311	0.04061717
HSPA1B	1.670699441	0	-1.729887541	0	0.00425074	3.215808821	0.040046198
HSPA6	1.682748084	0	-1.758928224	0	0.003259709	3.318360751	0.040046198
GPR109A /// GPR109B	1.782835217	0.02	-1.415262344	0.030598291	0.045497527	2.135863353	0.075056849
HSP90AA1 /// HSP90AA2 /// HSP90AA4P	1.970927972	0	-1.971772636	0	0.002373087	3.508259246	0.038616605
HSP90AA1	2.000358462	0	-1.811477104	0	0.005818602	3.056301717	0.040046198
HSPA1A /// HSPA1B	2.56252049	0	-2.299023133	0	0.001783109	3.698160199	0.038616605
